epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.809,2.90722,3.75667,2.28303,0.00486,0.2381,0.00444,0.00113,2.85814,3.73166,2.31221,0.0001,0.0001,0.0001
2,23.6733,2.69053,3.43171,2.13336,0.00861,0.42177,0.00988,0.00314,2.63672,3.63282,2.12611,0.000215644,0.000215644,0.000215644
3,32.3317,2.49515,3.03563,1.82757,0.01542,0.7551,0.0965,0.02367,2.54325,3.34939,1.78494,0.000326536,0.000326536,0.000326536
4,41.2546,2.32058,2.45852,1.6764,0.01583,0.77551,0.11717,0.03346,2.38892,3.20426,1.71438,0.000432676,0.000432676,0.000432676
5,50.1575,2.24978,2.40864,1.6826,0.01708,0.83673,0.12827,0.04569,2.28763,3.09067,1.67065,0.000534064,0.000534064,0.000534064
6,59.0479,2.09869,2.41217,1.66486,0.01597,0.78231,0.18475,0.07243,2.29049,2.98632,1.71485,0.0006307,0.0006307,0.0006307
7,68.0163,2.11929,2.1897,1.66397,0.59894,0.09524,0.21321,0.07524,2.27831,2.9177,1.9115,0.000722584,0.000722584,0.000722584
8,77.3403,2.097,2.19039,1.64957,0.11865,0.17007,0.06017,0.02125,2.19139,2.92662,1.81278,0.000809716,0.000809716,0.000809716
9,86.6797,2.04935,2.08292,1.59704,0.07206,0.20408,0.04447,0.01416,2.23581,3.17157,2.00668,0.000892096,0.000892096,0.000892096
10,95.6647,1.98449,2.03125,1.59664,0.26358,0.17289,0.15107,0.06008,2.28103,2.95014,1.99297,0.000969724,0.000969724,0.000969724
11,104.503,1.99424,2.06731,1.61033,0.13013,0.21088,0.07226,0.02315,2.23167,2.93503,1.9153,0.0010426,0.0010426,0.0010426
12,113.349,2.06397,1.98093,1.59158,0.19914,0.2585,0.12831,0.03821,2.30719,2.71089,1.93333,0.00111072,0.00111072,0.00111072
13,122.121,2.08481,2.14229,1.66398,0.4365,0.16327,0.20281,0.06938,2.37119,2.9522,2.00168,0.0011741,0.0011741,0.0011741
14,130.807,2.01571,1.98875,1.58491,0.34278,0.04762,0.09324,0.03852,2.41015,3.53527,2.20915,0.00123272,0.00123272,0.00123272
15,139.491,2.01575,1.96437,1.60777,0.26084,0.12245,0.11445,0.05429,2.35985,3.1953,2.11503,0.00128658,0.00128658,0.00128658
16,148.235,1.98058,1.88002,1.61034,0.26498,0.19728,0.16017,0.06717,2.2932,2.70021,2.00086,0.0013357,0.0013357,0.0013357
17,157.005,1.92646,1.85579,1.57182,0.2474,0.2517,0.17234,0.06662,2.29824,2.64469,2.00451,0.0013664,0.0013664,0.0013664
18,165.742,1.91274,1.78321,1.53292,0.35926,0.24031,0.22638,0.08101,2.33803,2.50396,1.97764,0.0013268,0.0013268,0.0013268
19,174.428,1.95667,1.86121,1.5458,0.2391,0.18367,0.13975,0.04788,2.34681,2.71361,1.97161,0.0012872,0.0012872,0.0012872
20,183.08,1.91433,1.77132,1.48415,0.26952,0.2449,0.15003,0.0538,2.34119,2.65299,1.9592,0.0012476,0.0012476,0.0012476
21,191.873,1.86075,1.75978,1.51378,0.27533,0.23129,0.19802,0.07854,2.27349,2.51182,1.88565,0.001208,0.001208,0.001208
22,201.035,1.94006,1.76157,1.50238,0.2584,0.27211,0.20564,0.07294,2.24531,2.53373,1.81726,0.0011684,0.0011684,0.0011684
23,210.036,1.8852,1.76052,1.52875,0.2232,0.2381,0.18348,0.06746,2.28419,2.69239,1.85515,0.0011288,0.0011288,0.0011288
24,218.914,1.81576,1.65377,1.45187,0.4004,0.34694,0.29662,0.11439,2.22659,2.29838,1.78512,0.0010892,0.0010892,0.0010892
25,227.664,1.89077,1.72579,1.50233,0.43043,0.36502,0.3349,0.12672,2.23936,2.19235,1.7738,0.0010496,0.0010496,0.0010496
26,236.469,1.86673,1.62016,1.45723,0.40892,0.34694,0.31605,0.10843,2.29944,2.22738,1.8518,0.00101,0.00101,0.00101
27,245.218,1.8826,1.71161,1.46083,0.5226,0.38095,0.37212,0.11631,2.29394,2.16983,1.84682,0.0009704,0.0009704,0.0009704
28,254.017,1.80356,1.62131,1.45962,0.50412,0.38776,0.38027,0.1291,2.22576,2.11818,1.83027,0.0009308,0.0009308,0.0009308
29,262.862,1.7839,1.62275,1.45714,0.47779,0.47619,0.41053,0.14392,2.20998,2.05533,1.82249,0.0008912,0.0008912,0.0008912
30,271.631,1.71177,1.51546,1.40365,0.50426,0.39443,0.39111,0.1564,2.15847,2.08856,1.74152,0.0008516,0.0008516,0.0008516
31,280.394,1.75936,1.53319,1.39799,0.65305,0.32011,0.40177,0.15823,2.18324,2.09089,1.7542,0.000812,0.000812,0.000812
32,289.164,1.73313,1.57588,1.45338,0.60992,0.32653,0.39443,0.1552,2.26034,2.06567,1.80596,0.0007724,0.0007724,0.0007724
33,297.87,1.71102,1.47814,1.3798,0.55391,0.31973,0.3464,0.12636,2.3495,2.13164,1.85892,0.0007328,0.0007328,0.0007328
34,306.591,1.7873,1.47648,1.38268,0.45846,0.28571,0.28917,0.09364,2.39695,2.30564,1.9026,0.0006932,0.0006932,0.0006932
35,315.322,1.72689,1.46764,1.412,0.43159,0.35374,0.32598,0.10967,2.31309,2.27211,1.8508,0.0006536,0.0006536,0.0006536
36,324.137,1.73972,1.49757,1.41676,0.39223,0.43537,0.37957,0.14098,2.20953,2.07436,1.76479,0.000614,0.000614,0.000614
37,332.826,1.66412,1.43601,1.39725,0.43067,0.42857,0.38375,0.1387,2.2214,2.022,1.77347,0.0005744,0.0005744,0.0005744
38,341.571,1.70511,1.46365,1.3872,0.4612,0.40761,0.40711,0.1498,2.20478,2.00204,1.75959,0.0005348,0.0005348,0.0005348
39,350.229,1.70681,1.40817,1.33841,0.46951,0.43537,0.39651,0.15347,2.2255,1.9608,1.7739,0.0004952,0.0004952,0.0004952
40,359.082,1.67291,1.42215,1.38029,0.41778,0.46259,0.40947,0.16605,2.18802,1.89141,1.75186,0.0004556,0.0004556,0.0004556
41,367.593,1.68301,1.58101,1.3811,0.44656,0.40816,0.39887,0.15937,2.21431,1.91054,1.77494,0.000416,0.000416,0.000416
